I0,I1,I2,I3,I4,I5,I6,I7,I8,new_col
6.680161,25.294516,1.181077,-0.001205,1e-06,-0.277206,0.925016,0.379933,9.738975,1
6.683014,25.30868,1.181067,-0.00048,0.0,-0.951774,0.925012,0.379939,9.694102,1
6.726379,25.292873,1.1811,0.005508,3e-05,-3.257817,0.925024,0.379908,9.801795,1
6.737,25.305723,1.181099,-0.001921,4e-06,-2.290336,0.925024,0.379917,9.799103,1
6.721024,25.286566,1.181077,0.002791,8e-06,7.054932,0.925016,0.379923,9.733589,1
6.744354,25.293177,1.181102,0.00145,2e-06,-4.000202,0.925025,0.379905,9.747051,1
6.714333,25.299446,1.181122,0.003416,1.2e-05,0.14372,0.925033,0.379892,9.730897,1
6.670013,25.317383,1.181069,-0.01139,0.00013,-0.562125,0.925013,0.379945,9.752436,1
6.681671,25.29513,1.181052,0.001562,2e-06,2.99698,0.925006,0.37995,9.76141,1
6.657013,25.284576,1.181103,0.009452,8.9e-05,0.154895,0.925025,0.379892,9.759615,1
6.630684,25.313877,1.181111,-0.003366,1.1e-05,-0.666519,0.925029,0.379906,9.823333,1
6.612244,25.311462,1.181078,-0.004447,2e-05,1.959693,0.925016,0.379941,9.788333,1
6.652611,25.278849,1.18109,0.009256,8.6e-05,1.498142,0.925021,0.379902,9.721025,1
6.624458,25.280413,1.181124,0.006304,4e-05,1.724833,0.925034,0.379872,9.766794,1
6.631432,25.305475,1.181111,-0.005977,3.6e-05,3.116982,0.925029,0.379918,9.756025,1
6.628304,25.289089,1.181072,0.005049,2.5e-05,5.328834,0.925029,0.37992,9.75423,1
6.612503,25.293533,1.18108,0.000966,1e-06,3.354005,0.925017,0.379918,9.739872,1
6.627846,25.303621,1.181094,-0.001323,2e-06,-0.028105,0.925022,0.379918,9.727307,1
6.669983,25.296709,1.181092,0.001925,4e-06,2.187433,0.925021,0.379914,9.844872,1
6.664886,25.292412,1.181096,0.002432,6e-06,2.785707,0.925023,0.379892,9.779359,1
6.671417,25.307901,1.181127,-0.001729,3e-06,-4.947001,0.92502,0.379898,9.758718,1
6.579651,25.30728,1.181102,-0.002159,5e-06,-0.981044,0.925025,0.379892,9.776667,1
6.642944,25.308702,1.181141,-0.001438,2e-06,-5.104918,0.92504,0.379874,9.782051,1
6.59388,25.303953,1.181144,-0.001067,1e-06,-6.353175,0.925041,0.379881,9.822435,1
6.631493,25.300602,1.181117,-0.000478,0.0,0.940848,0.925031,0.379887,9.751538,1
6.612526,25.297472,1.181125,-0.001456,2e-06,-1.099957,0.925034,0.379876,9.717436,1
6.633568,25.311314,1.181125,-0.006309,4e-05,-2.973555,0.925019,0.379887,9.770385,1
6.608757,25.305794,1.181132,-0.000708,1e-06,-2.444823,0.925036,0.379882,9.76859,1
6.629089,25.285233,1.181143,0.00582,3.4e-05,-1.333687,0.925041,0.379866,9.740769,1
6.618294,25.313343,1.181141,-0.005549,3.1e-05,-4.06075,0.92504,0.379872,9.764999,1
6.625267,25.304455,1.181143,-0.002773,8e-06,-2.924656,0.925041,0.379876,9.712051,1
6.602165,25.319908,1.181107,-0.00554,3.1e-05,1.580706,0.925027,0.379885,9.709359,1
6.613815,25.318727,1.181134,-0.000423,0.0,-1.778611,0.925037,0.379884,9.764102,1
6.619514,25.307817,1.181117,-0.000242,0.0,-0.00899,0.925031,0.379892,9.76859,1
6.595634,25.318005,1.181119,-0.004474,2e-05,-2.589203,0.925032,0.379894,9.759615,1
6.635033,25.288622,1.181141,0.008409,7.1e-05,1.117491,0.92504,0.379869,9.729102,1
6.605896,25.310078,1.181124,-0.001436,2e-06,3.299773,0.925034,0.379882,9.711154,1
6.584869,25.304764,1.181136,-0.001207,1e-06,-2.530981,0.925038,0.379879,9.80359,1
6.559082,25.299654,1.181128,0.000842,1e-06,1.680305,0.925035,0.379879,9.764102,1
