I0,I1,I2,I3,I4,I5,I6,I7,I8,new_col
-89.631882,-3.409304,-0.15412,-0.08735,0.00763,-4.689278,-0.153598,0.988133,9.89782,0
-89.330872,-3.401191,-0.154617,-0.080924,0.006549,-1.645084,-0.154174,0.988044,9.898718,0
-89.058899,-3.378366,-0.155126,-0.082414,0.006792,-1.461634,-0.154505,0.987967,10.039616,0
-88.76825,-3.372714,-0.15559,-0.07359,0.005415,0.756793,-0.154963,0.987898,10.001923,0
-88.476791,-3.344351,-0.156032,-0.075958,0.00577,-0.600959,-0.155399,0.987829,9.992949,0
-88.170929,-3.323801,-0.156466,-0.069996,0.004899,0.103077,-0.15597,0.987762,9.96782,0
-87.867554,-3.324024,-0.156861,-0.06129,0.003756,-2.605329,-0.156348,0.987702,9.939102,0
-87.547623,-3.299168,-0.157239,-0.059482,0.003538,2.879125,-0.156706,0.987646,9.945384,0
-87.234116,-3.297257,-0.157574,-0.051737,0.002677,2.665997,-0.157022,0.987595,9.954359,0
-86.922241,-3.280812,-0.157875,-0.047154,0.002224,2.590677,-0.158196,0.987548,9.907692,0
-86.355988,-3.262622,-0.158161,-0.04476,0.002003,0.388348,-0.157586,0.987505,9.981282,0
-86.263107,-3.25383,-0.158401,-0.038712,0.001499,-2.573925,-0.157819,0.987468,10.023461,0
-85.925903,-3.241978,-0.158617,-0.031424,0.000987,0.256235,-0.157953,0.987437,9.992949,0
-85.636505,-3.235233,-0.158781,-0.026518,0.000703,-0.306868,-0.158164,0.987413,9.972307,0
-85.297546,-3.226178,-0.158918,-0.021319,0.000454,-0.899191,-0.158277,0.987395,9.895128,0
-84.997772,-3.205043,-0.159075,-0.021898,0.00048,1.015848,-0.158447,0.987368,9.793717,0
-84.72821,-3.211563,-0.159171,-0.009941,9.9e-05,1.982933,-0.158499,0.987356,9.85564,0
-84.391357,-3.18478,-0.159255,-0.015402,0.000237,1.033856,-0.158602,0.987343,9.807179,0
-84.229706,-3.168042,-0.15933,-0.013456,0.000181,2.522275,-0.158676,0.987331,9.910384,0
-84.00441,-3.169256,-0.159362,-0.007019,4.9e-05,-1.675811,-0.158711,0.987325,9.852051,0
-83.741302,-3.14601,-0.159438,-0.013012,0.000169,2.554239,-0.15879,0.987313,9.843077,0
-83.461945,-3.134623,-0.15952,-0.01125,0.000127,3.115981,-0.158852,0.987302,9.797307,0
